Municipality,2010,2011,2012,2013,2014
Adjuntas,"19,473","19,345","19,170","19,052","18,900"
Aguada,"41,917","41,656","41,221","40,759","40,329"
Aguadilla,"60,788","60,088","59,067","58,106","57,290"
Aguas Buenas,"28,654","28,390","28,098","27,799","27,473"
Aibonito,"25,878","25,597","25,265","24,903","24,561"
Añasco,"29,271","29,154","28,909","28,635","28,403"
Arecibo,"96,263","95,139","93,954","92,951","91,540"
Arroyo,"19,572","19,477","19,288","19,084","18,853"
Barceloneta,"24,827","24,868","24,950","24,938","24,958"
Barranquitas,"30,324","30,252","30,073","29,880","29,697"
Bayamón,"207,644","205,090","201,608","197,813","194,210"
Cabo Rojo,"50,963","50,904","50,747","50,569","50,349"
Caguas,"142,854","141,796","140,390","138,760","137,032"
Camuy,"35,122","34,849","34,471","34,084","33,664"
Canóvanas,"47,694","47,773","47,762","47,589","47,457"
Carolina,"176,420","174,226","171,474","168,611","165,820"
Cataño,"28,077","27,694","27,235","26,777","26,274"
Cayey,"48,115","47,763","47,306","46,783","46,293"
Ceiba,"13,611","13,390","13,122","12,878","12,607"
Ciales,"18,753","18,505","18,243","17,979","17,728"
Cidra,"43,477","43,245","42,971","42,579","42,118"
Coamo,"40,568","40,643","40,528","40,409","40,331"
Comerío,"20,796","20,683","20,536","20,396","20,253"
Corozal,"37,134","36,874","36,514","36,098","35,693"
Culebra,"1,820","1,814","1,815","1,817","1,818"
Dorado,"38,237","38,369","38,342","38,314","38,264"
Fajardo,"36,880","36,308","35,593","34,864","34,049"
Florida,"12,688","12,618","12,603","12,504","12,411"
Guánica,"19,376","19,006","18,653","18,246","17,852"
Guayama,"45,277","44,532","44,077","43,953","43,467"
Guayanilla,"21,525","21,226","20,881","20,528","20,148"
Guaynabo,"97,788","96,811","95,536","94,207","92,799"
Gurabo,"45,555","46,149","46,553","46,899","47,145"
Hatillo,"41,969","41,983","41,846","41,734","41,618"
Hormigueros,"17,247","17,188","17,051","16,885","16,746"
Humacao,"58,370","57,891","57,221","56,537","55,884"
Isabela,"45,657","45,424","45,014","44,581","44,149"
Jayuya,"16,638","16,449","16,197","15,936","15,693"
Juana Díaz,"50,739","50,432","49,946","49,410","48,853"
Juncos,"40,344","40,379","40,321","40,275","40,102"
Lajas,"25,707","25,439","25,169","24,803","24,465"
Lares,"30,629","30,064","29,423","28,805","28,208"
Las Marías,"9,870","9,699","9,524","9,353","9,158"
Las Piedras,"38,719","38,861","38,808","38,734","38,671"
Loíza,"30,016","29,579","29,057","28,551","28,065"
Luquillo,"20,056","19,948","19,771","19,542","19,338"
Manatí,"44,039","43,550","42,939","42,299","41,675"
Maricao,"6,278","6,226","6,146","6,090","6,022"
Maunabo,"12,215","12,074","11,919","11,746","11,565"
Mayagüez,"88,786","87,231","85,465","83,726","81,915"
Moca,"40,104","39,823","39,413","38,946","38,461"
Morovis,"32,649","32,652","32,544","32,379","32,194"
Naguabo,"26,772","26,904","26,925","26,917","26,886"
Naranjito,"30,384","30,250","30,083","29,851","29,602"
Orocovis,"23,426","23,214","22,936","22,668","22,392"
Patillas,"19,258","19,036","18,769","18,506","18,261"
Peñuelas,"24,219","23,815","23,317","22,821","22,365"
Ponce,"165,714","162,977","159,613","156,456","153,540"
Quebradillas,"25,899","25,758","25,550","25,310","25,042"
Rincón,"15,199","15,121","15,009","14,879","14,782"
Río Grande,"54,298","53,993","53,807","53,374","52,668"
Sabana Grande,"25,250","25,007","24,680","24,402","24,121"
Salinas,"31,046","30,864","30,507","30,233","29,881"
San Germán,"35,629","35,272","34,803","34,194","33,725"
San Juan Municipio,"394,234","387,740","380,380","372,815","365,575"
San Lorenzo,"41,020","40,721","40,348","39,954","39,524"
San Sebastián,"42,337","41,836","41,255","40,622","39,969"
Santa Isabel,"23,289","23,255","23,144","23,023","22,860"
Toa Alta,"74,278","74,691","74,802","74,833","74,837"
Toa Baja,"89,465","88,278","86,912","85,546","84,165"
Trujillo Alto,"74,757","74,047","73,147","72,179","71,019"
Utuado,"33,056","32,639","32,102","31,582","31,050"
Vega Alta,"39,951","39,915","39,721","39,526","39,236"
Vega Baja,"59,554","58,795","57,960","57,102","56,166"
Vieques,"9,306","9,255","9,237","9,172","9,113"
Villalba,"26,007","25,604","25,201","24,777","24,389"
Yabucoa,"37,880","37,442","36,919","36,397","35,879"
Yauco,"41,926","41,216","40,425","39,604","38,782"
